Subject,CourseCode,Class Nbr,Course Title,Days,Start Time,End Time,Location,Enrl Cap,Classroom,Inst Last Nm
ASU,101,13023,The ASU Experience,T,3:00 PM,3:50 PM,TEMPE,19,BYENG361,Staff
ASU,101,30641,The ASU Experience,T,10:30 AM,11:20 AM,TEMPE,19,BYENG361,Staff
ASU,101,31622,The ASU Experience,TH,3:00 PM,3:50 PM,TEMPE,19,BYENG361,Staff
ASU,101,31623,Special Topics,TH,10:30 AM,11:20 AM,TEMPE,19,BYENG361,Staff
CPI,101,12069,Introduction to Informatics,TTh,9:00 AM,10:15 AM,TEMPE,99,LSE104,hansford
CPI,111,19589,Game Development I,MWF,9:40 AM,10:30 AM,TEMPE,51,BYENGM1-11,Yoshi
CPI,200,16390,Math Foundation of Informatics,TTh,12:00 PM,1:15 PM,TEMPE,56,BYAC150,hansford
CPI,211,12302,Game Development II,MW,3:05 PM,4:20 PM,TEMPE,50,BYENGM1-11,Selgrad
CPI,221,18204,Advan Obj Orient Prin w/Java,MWF,11:50 AM,12:40 PM,TEMPE,66,CPCOM213,Selgrad
CPI,321,12662,Fundamentals of Game Art,Th,4:50 PM,7:35 PM,TEMPE,50,BYENGM1-11,yoshi
CPI,350,14056,Eval of Informatics Systems,TTh,1:30 PM,2:45 PM,TEMPE,80,DISCVRY350,atkinson
CPI,411,17633,Civic informatics,TTh,10:30 AM,11:45 AM,TEMPE,51,BYENGM1-11,yoshi
CPI,441,12597,Graphics for Games,T,4:50 PM,7:35 PM,TEMPE,30,BYENGM1-11,Yoshi
CSE,100,11257,Gaming Capstone,F,11:50 AM,12:40 PM,TEMPE,30,COORL1-38,Staff
CSE,100,22208,Informatics Capstone I,F,2:00 PM,2:50 PM,TEMPE,25,COORL1-50,Feng
CSE,100,22209,Informatics Capstone I,T,9:00 AM,9:50 AM,TEMPE,25,COORL1-30,Feng
CSE,100,11241,Informatics Capstone II,W,11:50 AM,12:40 PM,TEMPE,30,COORL1-38,Staff
CSE,100,11320,Prin of Programming with C++,Th,10:30 AM,11:20 AM,TEMPE,25,COORL1-38,Staff
CSE,100,15635,Prin of Programming with C++,W,12:55 PM,1:45 PM,TEMPE,25,COORL1-38,Feng
CSE,100,22207,Prin of Programming with C++,W,2:00 PM,2:50 PM,TEMPE,25,COORL1-50,Feng
CSE,100,11226,Prin of Programming with C++,MWF,8:35 AM,9:25 AM,TEMPE,175,SCOB210,Possible Kevin
CSE,100,13822,Prin of Programming with C++,MWF,10:45 AM,11:35 AM,TEMPE,125,CDN68,Feng
CSE,100,16391,Prin of Programming with C++,Th,9:00 AM,9:50 AM,TEMPE,25,COORL1-30,Feng
